,bus_score,date,gmap_score,hystreet_score,index,nationalExpress_score,national_score,regional_score,suburban_score,zug_score
58,,2020-03-21,,0.5106953443350143,05711,1.0,0.9230769230769231,0.8984375,,0.9040697674418605
59,,2020-03-21,,,05758,1.0,0.9523809523809523,0.8932584269662921,,0.89568345323741
60,,2020-03-21,,,05762,1.0,0.75,0.9858657243816255,1.0,0.9845679012345679
61,,2020-03-21,,,05766,,,1.0,1.0,1.0
62,,2020-03-21,,0.338399710392806,05774,1.0,0.75,0.9454225352112676,1.0,0.9477848101265823
63,,2020-03-21,,,05911,0.9655172413793104,0.6000000000000001,0.9968798751950078,0.47867298578199047,0.8017167381974248
64,,2020-03-21,,0.43787109221884274,05913,0.9375,0.8,0.7489239598278336,0.6081560283687943,0.6688829787234043
65,,2020-03-21,,,05914,0.9444444444444444,0.9375,0.8926974664679582,0.8478260869565217,0.8845750262329486
66,,2020-03-21,,,05915,1.0,0.8947368421052632,0.9226519337016574,,0.9300699300699301
67,,2020-03-21,,,05916,1.0,1.0,0.6164079822616408,1.0,0.7062818336162988
68,,2020-03-21,,,05954,,,0.7836411609498681,0.7529976019184652,0.7727659574468085
69,,2020-03-21,,0.8018592395061352,05958,,,0.9148211243611585,,0.9148211243611585
70,,2020-03-21,,,05962,,,0.8189252336448598,,0.8189252336448598
71,,2020-03-21,,,05966,,,0.9714912280701754,,0.9714912280701754
72,1.0,2020-03-21,,,05970,,,0.9609004739336493,,0.9611307420494699
73,,2020-03-21,,,05974,1.0,0.75,0.9973890339425587,,0.9948586118251928
74,,2020-03-21,,,05978,,,0.7489779231398201,0.492,0.7053632043448744
75,,2020-03-21,,0.4306611076400083,06411,0.4,,1.0,0.9154929577464789,0.9653465346534653
76,,2020-03-21,,0.3626768137094611,06412,0.9003021148036254,0.9705882352941176,0.9815627743634767,0.8613849336740903,0.8771731303363851
77,,2020-03-21,,0.37716111934780094,06414,,,,,
78,,2020-03-21,,,06431,0.0,,0.9954285714285714,0.8636363636363636,0.974757281553398
79,,2020-03-21,,,06432,,,0.9915134370579916,0.9204545454545454,0.9836477987421384
80,,2020-03-21,,,06433,,,0.9970588235294118,0.9307295504789979,0.9528718703976435
81,,2020-03-21,,,06435,0.9487179487179487,1.0,0.9945222154595252,0.9844961240310077,0.9928414096916299
82,,2020-03-21,,,06437,,,1.0,,1.0
83,,2020-03-21,,,06440,0.8181818181818181,0.6666666666666667,0.973659454374412,0.884310618066561,0.9391100702576113
84,,2020-03-21,,0.3734155159646295,06531,0.8181818181818181,0.6666666666666667,0.9539170506912442,,0.9503759398496241
85,,2020-03-21,,,06532,,,0.9758522727272727,,0.9758522727272727
86,,2020-03-21,,0.440573852913589,06533,0.9166666666666666,,0.9904761904761905,,0.9872495446265938
